page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     403   141  icc     3   8  image  no      5622  0   119   119 15.8K 9.5%
   1     1 smask     403   141  gray    1   8  image  no      5622  0   119   119  358B 0.6%
   1     2 image    1568   538  icc     3   8  image  no      5624  0   263   249 62.4K 2.5%
   1     3 smask    1568   538  gray    1   8  image  no      5624  0   263   249 39.5K 4.8%
   2     4 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
   2     5 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
   3     6 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
   3     7 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
   3     8 image     720  1018  rgb     3   8  image  no         6  0   768   768 23.3K 1.1%
   3     9 image     720  1018  rgb     3   8  image  no         7  0   768   768 21.4K 1.0%
   3    10 image    1748  2480  rgb     3   8  image  no         9  0  1866  1866 20.5K 0.2%
   3    11 image     720  1018  rgb     3   8  image  no        10  0   768   768 16.1K 0.7%
   4    12 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
   4    13 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
   4    14 image     731   822  rgb     3   8  jpeg   no        14  0   115   115 70.0K 4.0%
   5    15 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
   5    16 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
   5    17 image     920   821  rgb     3   8  jpeg   no        20  0   164   164  452K  20%
   6    18 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
   6    19 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
   6    20 image    2068   631  rgb     3   8  image  no        28  0   309   309  949K  25%
   6    21 smask    2068   631  gray    1   8  image  no        28  0   309   309 3141B 0.2%
   7    22 image    1250  1250  rgb     3   8  image  no       743  0  1587  1587 53.1K 1.2%
   7    23 smask    1250  1250  gray    1   8  image  no       743  0  1587  1587 44.1K 2.9%
   7    24 image    3426  2683  rgb     3   8  image  no        35  0   512   512 5488K  20%
