page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     403   141  icc     3   8  image  no      5622  0   119   119 15.8K 9.5%
   1     1 smask     403   141  gray    1   8  image  no      5622  0   119   119  358B 0.6%
   1     2 image    1568   538  icc     3   8  image  no      5624  0   263   249 62.4K 2.5%
   1     3 smask    1568   538  gray    1   8  image  no      5624  0   263   249 39.5K 4.8%
   3     8 image     720  1018  rgb     3   8  image  no         6  0   768   768 23.3K 1.1%
   3     9 image     720  1018  rgb     3   8  image  no         7  0   768   768 21.4K 1.0%
   3    10 image    1748  2480  rgb     3   8  image  no         9  0  1866  1866 20.5K 0.2%
   3    11 image     720  1018  rgb     3   8  image  no        10  0   768   768 16.1K 0.7%
   4    14 image     731   822  rgb     3   8  jpeg   no        14  0   115   115 70.0K 4.0%
   5    17 image     920   821  rgb     3   8  jpeg   no        20  0   164   164  452K  20%
   6    20 image    2068   631  rgb     3   8  image  no        28  0   309   309  949K  25%
   6    21 smask    2068   631  gray    1   8  image  no        28  0   309   309 3141B 0.2%
   7    24 image    3426  2683  rgb     3   8  image  no        35  0   512   512 5488K  20%
   7    25 smask    3426  2683  gray    1   1  image  no        35  0   512   512 6065B 0.5%
   7    26 image    2077  2540  rgb     3   8  jpeg   no        36  0   510   510 1270K 8.2%
   8    29 image     552  1084  rgb     3   8  image  no        44  0   597   597  211K  12%
   8    30 smask     552  1084  gray    1   1  image  no        44  0   597   597  284B 0.4%
   9    33 image     512   208  rgb     3   8  image  no        55  0   127   127 21.9K 7.0%
   9    34 smask     512   208  gray    1   8  image  no        55  0   127   127  337B 0.3%
  11    39 image    2000  1500  index   1   8  image  no       250  0   332   332  276K 9.4%
  13    44 image    2000  1500  index   1   8  image  no       257  0   332   332  433K  15%
  15    49 image    1500  2000  index   1   8  image  no       264  0   320   320  100K 3.4%
  19    58 image    2147  1597  rgb     3   8  image  no       282  0   321   321 1453K  14%
  19    59 smask    2147  1597  gray    1   8  image  no       282  0   321   321 5550B 0.2%
  21    64 image    1295   987  rgb     3   8  image  no       292  0   659   659 1065K  28%
  21    65 smask    1295   987  gray    1   1  image  no       292  0   659   659  897B 0.6%
  22    68 image     256   173  rgb     3   8  image  no       303  0   207   207 33.5K  26%
