question_number,letter,answer
1,A,false
1,B,false
1,C,false
1,D,true
2,A,false
2,B,false
2,C,true
2,D,true
3,A,true
3,B,false
3,C,true
3,D,true
4,A,true
4,B,true
4,C,true
4,D,false
5,A,false
5,B,true
5,C,false
5,D,false
6,A,true
6,B,false
6,C,false
6,D,true
7,A,true
7,B,false
7,C,false
7,D,false
8,A,false
8,B,false
8,C,true
8,D,true
9,A,false
9,B,true
9,C,false
9,D,false
10,A,false
10,B,true
10,C,false
10,D,true
11,A,false
11,B,false
11,C,false
11,D,true
12,A,true
12,B,false
12,C,true
12,D,false
13,A,true
13,B,true
13,C,false
13,D,false
14,A,true
14,B,false
14,C,true
14,D,false
15,A,false
15,B,true
15,C,false
15,D,true
16,A,false
16,B,false
16,C,false
16,D,false
17,A,true
17,B,true
17,C,false
17,D,true
18,A,false
18,B,true
18,C,true
18,D,false
19,A,true
19,B,false
19,C,true
19,D,true
20,A,true
20,B,false
20,C,true
20,D,true
21,A,false
21,B,true
21,C,true
21,D,false
22,A,true
22,B,true
22,C,false
22,D,false
23,A,true
23,B,false
23,C,true
23,D,false
24,A,true
24,B,false
24,C,true
24,D,true
25,A,true
25,B,true
25,C,false
25,D,true
26,A,true
26,B,false
26,C,false
26,D,true
27,A,true
27,B,true
27,C,true
27,D,false
28,A,true
28,B,false
28,C,true
28,D,true
29,A,false
29,B,true
29,C,true
29,D,false
30,A,true
30,B,true
30,C,false
30,D,false
31,A,false
31,B,true
31,C,true
31,D,true
32,A,false
32,B,false
32,C,false
32,D,true
33,A,true
33,B,true
33,C,true
33,D,false
34,A,false
34,B,true
34,C,true
34,D,true
35,A,false
35,B,false
35,C,true
35,D,false
36,A,false
36,B,true
36,C,true
36,D,true
37,A,false
37,B,false
37,C,false
37,D,true
38,A,false
38,B,true
38,C,true
38,D,true
39,A,true
39,B,true
39,C,false
39,D,true
40,A,true
40,B,true
40,C,true
40,D,false
41,A,true
41,B,true
41,C,false
41,D,true
42,A,true
42,B,true
42,C,false
42,D,true
43,A,false
43,B,true
43,C,true
43,D,false
44,A,true
44,B,true
44,C,false
44,D,false
45,A,false
45,B,false
45,C,false
45,D,true
46,A,false
46,B,true
46,C,true
46,D,true
47,A,true
47,B,false
47,C,true
47,D,true
48,A,false
48,B,true
48,C,false
48,D,true
49,A,true
49,B,true
49,C,true
49,D,false
50,A,false
50,B,true
50,C,true
50,D,false
